00011C,SANDEN RETAIL SYSTEMS CORPORATION," Withdrawn (March 31, 2024)"
00010E,SANIX INCORPORATED," Withdrawn (March 31, 2024)"
0000BA,"SankyoTateyama, Inc.",
0000C5,SANWA SHUTTER CORPORATION,
000093,"SATORI ELECTRIC CO.,LTD.",
000107,"SEIKO ELECTRIC CO.,LTD.",
00003A,"SEKISUI HOUSE, LTD."," Withdrawn (March 31, 2022)"
000005,Sharp Corp,
000131,Shenzhen Eternalplanet Energy Pingshan Ltd.,
0000AE,"Shikoku Electric Power Transmission & Distribution Company, Incorporated"," Transferred from ""SHIKOKU ELECTRIC POWER CO.,INC."" (October 31, 2025)"
00002E,"SHIKOKU INSTRUMENTATION CO.,LTD",
0000CE,SHINDENGEN ELECTRIC MANUFACTURING CO.LTD.," Withdrawn (March 31, 2021)"
00010D,Shizen Connect Inc.," Transferred from ""Shizen Energy Inc."" (March 19, 2025)"
000144,"Sky Electric Japan, Inc",
0000A8,"Smart Power System. Co,. Ltd.",
0000DF,SMA Japan K.K.," Withdrawn (March 31, 2020)"
000100,Smart Solar Corporation,
00007E,SMK Corporation," Withdrawn (March 31, 2021)"
0000E1,SoftBank Corp.,
00011B,"SolaX Power Network Technology (Zhe jiang) Co. , Ltd.",
000060,"Sony Computer Science Laboratories, Inc."," Withdrawn (March 31, 2020)"
00006E,"Soundvision co.,ltd."," Withdrawn (March 31, 2023)"
000108,SOUSEI Technology Inc.," Withdrawn (March 31, 2021)"
000116,"Sungrow Power Supply Co., Ltd.",
000101,"Sunpot Co., Ltd"," Withdrawn (April 01, 2022)"
0000DB,Suntech Power Japan Corporation,
00003D,"SUMITOMO ELECTRIC INDUSTRIES, LTD.",
00003E,"SUMITOMO ELECTRIC NETWORKS, INC."," Withdrawn (December 22, 2023)"
00012D,TACHIKAWA CORPORATION,
000085,"TAKAOKA TOKO CO.,LTD",
0000AF,"Takara Standard Co.,Ltd",
0000E4,technoeye Inc.," Withdrawn (April 09, 2025)"
0000FF,"TEPCO Energy Partner, Inc.",
000145,Tesla Japan G.K.,
0000EE,TESSERA TECHNOLOGY INC.,
0000B5,"The Chugoku Electric Power Co., Ltd",
00009A,"The Kansai Electric Power Co., Inc.",
0000CD,TOCLAS CORPORATION,
000126,"Togami Electric Mfg.co.,Ltd."," Withdrawn (March 31, 2023)"
0000F9,TOHO ELECTRONICS INC.," Withdrawn (March 31, 2022)"
0000C2,"Tohoku Electric Meter Industry Co.,Inc",
0000BC,"TohokuElectric Power Network Company,Incorporated"," Transferred from ""Tohoku Electric Power Company,Incorporated"" (April 24, 2020)"
000099,"Tokyo Electric Power Company Holdings, Inc.",
0000B3,"TOPPERS Project, Inc."," Withdrawn (April 24, 2020)"
000111,Topre Corporation,
000016,Toshiba Corporation,
000043,TOSHIBA DEVELOPMENT & ENGINEERING CORPORATION,
0000EC,Toshiba Energy Systems & Solutions Corporation,
0000D9,Toshiba IT & Control Systems Corporation," Withdrawn (August 29, 2023)"
000069,Toshiba Lifestyle Products & Services Corporation,
00001B,TOSHIBA LIGHTING & TECHNOLOGY CORPORATION,
000035,"Toshiba Toko Meter Systems Co.,Ltd.",
000050,TOTO LTD.,
0000EF,TOYOTA INDUSTRIES CORPORATION," Withdrawn (March 31, 2021)"
000121,TOYOTA MOTOR CORPORATION,
00011F,TOYOTA TSUSHO CORPORATION," Withdrawn (March 31, 2023)"
00005C,"Tranceboot Co.,Ltd.",
000138,TRENDE Inc.,
000076,"TSP CO.,Ltd",
0000D0,TSUBAKIMOTO CHAIN CO.,
0000C1,"Tsuken Electric Ind Co., Ltd.",
000053,Ubiquitous AI Corporation,
000117,WWB Corporation," Withdrawn (August 25, 2023)"
000095,"Yamato Denki Co.,Ltd."," Withdrawn (April 4, 2025)"
000142,Yanekara Inc,
00009E,YASKAWA ELECTRIC CORPORATION," Withdrawn (April 28, 2020)"
00007A,"ZUKEN ELMIC,INC."," Withdrawn (April 28, 2023)"
0000B4,4R Energy Corporation," Withdrawn (March 31, 2020)"
